Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumberCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,No,Travel_Rarely,Research & Development,20,Masters,Technical Degree,1092,Low,Male,High,Senior,Healthcare Representative,Very High,Married,10322,4,No,20,Outstanding,Very High,Low,14,6,Better,11,10,11,1
27,No,Non-Travel,Research & Development,8,Doctorate,Life Sciences,1094,Low,Male,Low,Entry,Laboratory Technician,High,Married,4621,1,No,19,Excellent,Very High,High,3,4,Better,3,2,1,2
55,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,1096,Very High,Male,High,Senior,Manufacturing Director,Medium,Married,10976,3,No,18,Excellent,Medium,Low,23,4,Better,3,2,1,2
28,No,Travel_Rarely,Research & Development,10,Bachelors,Other,1097,High,Female,High,Experienced,Research Scientist,High,Single,3660,3,No,13,Excellent,Very High,None,10,4,Best,8,7,1,7
44,Yes,Travel_Rarely,Human Resources,1,College,Medical,1098,Medium,Male,Medium,Senior,Human Resources,Low,Married,10482,9,No,14,Excellent,Very High,Low,24,1,Better,20,6,3,6
33,No,Travel_Rarely,Research & Development,5,Bachelors,Life Sciences,1099,Very High,Male,Medium,Senior,Healthcare Representative,Very High,Divorced,7119,4,No,15,Excellent,High,Low,9,2,Better,3,2,1,2
35,Yes,Travel_Rarely,Sales,4,Bachelors,Technical Degree,1100,Very High,Male,High,Senior,Sales Executive,Low,Single,9582,0,Yes,22,Outstanding,Low,None,9,2,Better,8,7,4,7
33,Yes,Travel_Frequently,Research & Development,29,Masters,Medical,1101,Low,Female,Medium,Experienced,Research Scientist,High,Single,4508,1,No,22,Outstanding,Medium,None,14,4,Better,13,7,3,8
28,No,Travel_Rarely,Research & Development,15,College,Life Sciences,1102,Low,Male,High,Entry,Laboratory Technician,High,Divorced,2207,1,No,16,Excellent,Very High,Low,4,5,Good,4,2,2,2
34,No,Travel_Frequently,Research & Development,3,Below College,Life Sciences,1103,Low,Male,High,Experienced,Healthcare Representative,Very High,Single,7756,0,No,17,Excellent,High,None,7,1,Good,6,2,0,4
37,No,Travel_Rarely,Sales,10,Masters,Life Sciences,1105,Very High,Female,Medium,Experienced,Sales Executive,Very High,Divorced,6694,2,Yes,14,Excellent,High,High,8,5,Better,1,0,0,0
25,Yes,Travel_Rarely,Research & Development,4,Below College,Technical Degree,1106,Very High,Male,High,Entry,Laboratory Technician,Very High,Married,3691,1,Yes,15,Excellent,Medium,Low,7,3,Best,7,7,5,6
26,Yes,Travel_Rarely,Research & Development,21,Bachelors,Medical,1107,Low,Male,High,Entry,Laboratory Technician,High,Divorced,2377,1,No,20,Outstanding,High,Low,1,0,Good,1,1,0,0
33,Yes,Travel_Rarely,Research & Development,25,Bachelors,Medical,1108,Low,Male,Medium,Entry,Research Scientist,Medium,Single,2313,4,Yes,20,Outstanding,Medium,None,5,0,Better,2,2,2,2
42,No,Travel_Rarely,Research & Development,2,College,Medical,1109,Very High,Male,High,Manager,Manager,Low,Married,17665,0,No,17,Excellent,Very High,Low,23,3,Better,22,6,13,7
28,Yes,Travel_Frequently,Research & Development,1,Bachelors,Medical,1111,Low,Male,Medium,Entry,Laboratory Technician,Medium,Divorced,2596,1,No,15,Excellent,Low,Medium,1,2,Better,1,0,0,0
50,Yes,Travel_Frequently,Sales,1,Masters,Other,1113,Very High,Male,High,Experienced,Sales Executive,High,Single,4728,3,Yes,14,Excellent,Very High,None,5,4,Better,0,0,0,0
33,No,Travel_Frequently,Sales,7,Bachelors,Life Sciences,1114,Very High,Female,High,Experienced,Sales Executive,Medium,Married,4302,0,No,17,Excellent,High,Low,4,3,Better,3,2,0,2
34,No,Non-Travel,Research & Development,3,Masters,Life Sciences,1115,High,Male,Medium,Entry,Research Scientist,Very High,Married,2979,3,No,17,Excellent,Very High,High,6,2,Better,0,0,0,0
48,No,Non-Travel,Research & Development,1,Masters,Medical,1116,Low,Male,Very High,Manager,Manager,Very High,Single,16885,2,No,22,Outstanding,High,None,27,3,Good,5,4,2,1
45,No,Non-Travel,Sales,9,Masters,Life Sciences,1117,Medium,Female,Medium,Experienced,Sales Executive,High,Married,5593,1,No,13,Excellent,Very High,Low,15,2,Better,15,10,4,12
52,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,1118,Medium,Male,High,Senior,Healthcare Representative,Medium,Single,10445,7,No,19,Excellent,Very High,None,18,4,Better,8,6,4,0
38,No,Travel_Rarely,Sales,10,Masters,Marketing,1119,High,Male,Medium,Senior,Sales Executive,High,Divorced,8740,0,Yes,14,Excellent,Medium,Medium,9,2,Better,8,7,2,7
29,No,Travel_Rarely,Research & Development,28,Masters,Life Sciences,1120,High,Female,High,Entry,Research Scientist,Very High,Divorced,2514,4,No,22,Outstanding,Low,Low,11,1,Better,7,5,1,7
28,No,Travel_Rarely,Research & Development,3,Bachelors,Medical,1121,Very High,Female,High,Senior,Manufacturing Director,Medium,Divorced,7655,0,No,17,Excellent,Medium,High,10,3,Good,9,7,1,7
46,No,Travel_Rarely,Sales,3,Below College,Marketing,1124,Low,Male,High,Manager,Manager,High,Married,17465,3,No,12,Excellent,Very High,Low,23,3,Better,12,9,4,9
38,No,Travel_Rarely,Sales,2,College,Marketing,1125,Very High,Male,High,Senior,Sales Executive,Medium,Single,7351,7,No,16,Excellent,High,None,10,2,Better,1,0,0,0
43,No,Travel_Frequently,Research & Development,27,Bachelors,Life Sciences,1126,High,Female,High,Senior,Manufacturing Director,Low,Married,10820,8,No,11,Excellent,High,Low,18,1,Better,8,7,0,1
39,Yes,Travel_Frequently,Research & Development,2,Bachelors,Life Sciences,1127,Low,Male,High,Manager,Healthcare Representative,Very High,Divorced,12169,7,No,11,Excellent,Very High,High,21,4,Better,18,7,11,5
40,No,Travel_Rarely,Research & Development,14,Bachelors,Medical,1128,High,Male,Medium,Director,Research Director,High,Single,19626,1,No,14,Excellent,Low,None,21,2,Best,20,7,4,9
21,No,Travel_Rarely,Research & Development,1,Below College,Technical Degree,1131,Very High,Female,Medium,Entry,Research Scientist,Medium,Single,2070,1,Yes,11,Excellent,High,None,2,6,Best,2,2,2,2
39,No,Non-Travel,Research & Development,9,Bachelors,Life Sciences,1132,High,Male,High,Experienced,Laboratory Technician,Medium,Single,6782,9,No,15,Excellent,High,None,9,2,Good,5,4,0,3
36,No,Non-Travel,Research & Development,18,Masters,Life Sciences,1133,Low,Male,High,Experienced,Manufacturing Director,Very High,Single,7779,2,No,20,Outstanding,Low,None,18,0,Better,11,9,0,9
31,No,Travel_Frequently,Sales,20,Bachelors,Life Sciences,1135,High,Male,Very High,Entry,Sales Representative,Very High,Married,2791,0,No,12,Excellent,Low,Low,3,4,Better,2,2,2,2
28,No,Travel_Rarely,Research & Development,2,Below College,Life Sciences,1136,Low,Male,Medium,Entry,Research Scientist,Medium,Married,3201,0,No,17,Excellent,Low,None,6,2,Bad,5,3,0,4
35,No,Travel_Frequently,Sales,11,College,Marketing,1137,Very High,Male,High,Experienced,Sales Executive,Very High,Divorced,4968,1,No,11,Excellent,Very High,Low,5,3,Better,5,2,0,2
49,No,Travel_Rarely,Sales,8,Masters,Technical Degree,1138,Very High,Male,Medium,Manager,Sales Executive,Medium,Married,13120,6,No,17,Excellent,Medium,Low,22,3,Better,9,8,2,3
34,No,Travel_Frequently,Research & Development,2,College,Life Sciences,1140,Very High,Male,High,Experienced,Manufacturing Director,High,Single,4033,2,No,11,Excellent,Very High,None,5,3,Good,3,2,0,2
29,No,Travel_Frequently,Research & Development,10,Bachelors,Life Sciences,1143,Very High,Female,High,Entry,Research Scientist,Medium,Divorced,3291,0,No,14,Excellent,Very High,Medium,8,2,Good,7,5,1,1
42,No,Travel_Rarely,Research & Development,29,Bachelors,Medical,1148,Medium,Male,Low,Experienced,Laboratory Technician,Very High,Single,4272,4,No,19,Excellent,Low,None,16,3,Better,1,0,0,0
29,No,Travel_Rarely,Research & Development,8,Below College,Medical,1150,Medium,Male,Medium,Experienced,Manufacturing Director,Very High,Married,5056,1,Yes,15,Excellent,High,Low,10,2,Good,10,7,1,2
38,No,Travel_Rarely,Human Resources,1,Bachelors,Human Resources,1152,High,Male,Very High,Entry,Human Resources,High,Married,2844,1,No,13,Excellent,Very High,Low,7,2,Best,7,6,5,0
28,No,Travel_Frequently,Research & Development,6,Bachelors,Life Sciences,1154,High,Male,Medium,Entry,Research Scientist,High,Divorced,2703,1,Yes,14,Excellent,Very High,Low,3,2,Better,3,1,0,2
18,Yes,Non-Travel,Research & Development,8,Below College,Medical,1156,High,Male,High,Entry,Laboratory Technician,High,Single,1904,1,No,12,Excellent,Very High,None,0,0,Better,0,0,0,0
33,Yes,Travel_Rarely,Sales,9,Masters,Marketing,1157,Low,Female,High,Experienced,Sales Executive,Low,Single,8224,0,Yes,17,Excellent,Low,None,6,3,Better,5,2,0,3
41,No,Travel_Rarely,Research & Development,12,Masters,Life Sciences,1158,Medium,Male,High,Entry,Laboratory Technician,Very High,Married,4766,3,Yes,11,Excellent,Low,Low,6,4,Better,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,15,Bachelors,Medical,1160,High,Male,High,Entry,Laboratory Technician,High,Married,2610,1,No,12,Excellent,High,Low,2,5,Good,2,2,2,2
37,No,Travel_Rarely,Research & Development,25,College,Medical,1161,High,Female,Medium,Experienced,Healthcare Representative,Very High,Divorced,5731,7,No,13,Excellent,High,Medium,9,2,Better,6,2,1,3
27,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,1162,Very High,Male,Medium,Entry,Research Scientist,High,Married,2539,1,No,13,Excellent,High,Low,4,0,Better,4,2,2,2
34,No,Travel_Rarely,Sales,9,Below College,Life Sciences,1163,Medium,Female,High,Experienced,Sales Executive,High,Married,5714,1,No,20,Outstanding,Low,None,6,3,Good,6,5,1,3
35,No,Travel_Rarely,Human Resources,8,Masters,Technical Degree,1164,High,Male,High,Entry,Human Resources,High,Single,4323,1,No,17,Excellent,Medium,None,6,2,Bad,5,4,1,4
29,Yes,Travel_Rarely,Sales,23,Below College,Life Sciences,1165,Very High,Female,Medium,Senior,Sales Executive,Low,Married,7336,1,No,13,Excellent,Low,Low,11,3,Bad,11,8,3,10
40,No,Travel_Frequently,Research & Development,9,Masters,Medical,1166,Medium,Female,High,Senior,Research Director,High,Single,13499,9,No,17,Excellent,High,None,20,3,Good,18,7,2,13
42,Yes,Travel_Frequently,Sales,12,Bachelors,Life Sciences,1167,High,Male,High,Manager,Sales Executive,Low,Single,13758,0,Yes,12,Excellent,Medium,None,22,2,Good,21,9,13,14
42,No,Travel_Rarely,Sales,4,Masters,Marketing,1171,Medium,Male,High,Experienced,Sales Executive,Low,Single,5155,7,No,13,Excellent,Very High,None,9,3,Best,6,4,1,5
35,No,Travel_Rarely,Research & Development,1,Masters,Medical,1172,Very High,Male,Medium,Entry,Laboratory Technician,High,Married,2258,6,No,12,Excellent,Medium,Low,10,2,Better,8,0,1,7
24,No,Travel_Rarely,Research & Development,24,Bachelors,Medical,1173,Very High,Male,High,Entry,Laboratory Technician,Medium,Single,3597,8,No,22,Outstanding,Very High,None,6,2,Better,4,3,1,2
28,Yes,Travel_Rarely,Research & Development,12,Below College,Life Sciences,1175,High,Female,High,Entry,Laboratory Technician,Very High,Married,2515,1,Yes,11,Excellent,Very High,None,1,4,Good,1,1,0,0
26,No,Travel_Rarely,Research & Development,3,Masters,Medical,1177,Low,Male,Very High,Entry,Laboratory Technician,Very High,Married,4420,1,No,22,Outstanding,Medium,Low,8,2,Better,8,7,0,7
30,No,Travel_Rarely,Sales,10,Bachelors,Marketing,1179,High,Male,Medium,Experienced,Sales Executive,High,Married,6578,1,No,18,Excellent,Low,Low,10,3,Better,10,3,1,4
40,No,Travel_Frequently,Research & Development,26,College,Medical,1180,High,Female,Medium,Experienced,Research Scientist,Very High,Married,4422,3,Yes,13,Excellent,Very High,Low,16,3,Bad,1,1,0,0
35,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,1182,High,Male,Medium,Senior,Manufacturing Director,Medium,Divorced,10274,2,No,18,Excellent,Medium,Low,15,2,Best,7,7,6,4
34,No,Travel_Frequently,Research & Development,1,Bachelors,Medical,1184,Very High,Male,Medium,Experienced,Healthcare Representative,Low,Single,5343,0,No,20,Outstanding,High,None,14,3,Better,13,9,4,9
35,No,Travel_Frequently,Research & Development,4,Masters,Other,1185,Very High,Male,Medium,Entry,Laboratory Technician,Very High,Married,2376,1,No,13,Excellent,Medium,Low,2,2,Best,2,2,2,2
43,Yes,Travel_Rarely,Sales,9,Bachelors,Marketing,1188,Low,Female,Low,Experienced,Sales Executive,High,Single,5346,8,No,13,Excellent,Medium,None,7,2,Good,4,3,1,3
32,No,Non-Travel,Sales,2,Below College,Life Sciences,1190,High,Female,High,Entry,Sales Representative,Low,Divorced,2827,1,No,12,Excellent,High,High,1,3,Better,1,0,0,0
56,No,Travel_Rarely,Research & Development,4,Masters,Technical Degree,1191,Very High,Female,High,Director,Manager,Low,Divorced,19943,4,No,13,Excellent,Very High,Low,28,2,Better,5,2,4,2
29,No,Travel_Rarely,Research & Development,6,Below College,Medical,1192,Medium,Female,High,Entry,Laboratory Technician,Very High,Married,3131,1,No,13,Excellent,Low,Low,10,5,Better,10,8,0,8
19,No,Travel_Rarely,Research & Development,9,College,Life Sciences,1193,High,Male,High,Entry,Research Scientist,Low,Single,2552,1,No,25,Outstanding,High,None,1,4,Better,1,1,0,0
45,No,Travel_Rarely,Research & Development,7,Bachelors,Medical,1195,Low,Female,High,Entry,Research Scientist,High,Married,4477,4,Yes,19,Excellent,High,Low,7,2,Good,3,2,0,2
37,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,1196,Very High,Female,Medium,Experienced,Manufacturing Director,Very High,Married,6474,1,No,13,Excellent,Medium,Low,14,2,Good,14,8,3,11
20,No,Travel_Rarely,Research & Development,3,Bachelors,Life Sciences,1198,Low,Male,Medium,Entry,Laboratory Technician,High,Single,3033,1,No,12,Excellent,Low,None,2,2,Good,2,2,1,2
44,Yes,Travel_Rarely,Research & Development,10,Masters,Life Sciences,1200,High,Male,High,Entry,Research Scientist,High,Single,2936,1,Yes,11,Excellent,High,None,6,4,Better,6,4,0,2
53,No,Travel_Rarely,Research & Development,7,College,Medical,1201,Very High,Female,High,Director,Manager,High,Divorced,18606,3,No,18,Excellent,Medium,Low,26,6,Better,7,7,4,7
29,No,Travel_Rarely,Research & Development,15,Below College,Life Sciences,1202,Medium,Female,Low,Entry,Research Scientist,Very High,Married,2168,0,Yes,18,Excellent,Low,Low,6,2,Good,5,4,1,3
22,Yes,Travel_Frequently,Research & Development,3,Masters,Life Sciences,1203,High,Male,Medium,Entry,Research Scientist,Very High,Married,2853,0,Yes,11,Excellent,Medium,Low,1,5,Better,0,0,0,0
46,No,Travel_Rarely,Sales,2,Bachelors,Marketing,1204,High,Female,High,Manager,Manager,Low,Married,17048,8,No,23,Outstanding,Low,None,28,2,Better,26,15,15,9
44,No,Non-Travel,Research & Development,17,Bachelors,Life Sciences,1206,Very High,Male,Low,Entry,Research Scientist,High,Single,2290,2,No,13,Excellent,Very High,None,6,3,Better,0,0,0,0
33,No,Travel_Rarely,Human Resources,2,Bachelors,Human Resources,1207,Medium,Male,High,Entry,Human Resources,High,Married,3600,1,No,13,Excellent,Very High,Low,5,2,Better,5,4,1,4
41,Yes,Non-Travel,Research & Development,5,College,Life Sciences,1210,Low,Male,Medium,Entry,Research Scientist,Low,Divorced,2107,6,No,17,Excellent,Low,Low,5,2,Bad,1,0,0,0
30,No,Travel_Rarely,Sales,29,Masters,Life Sciences,1211,High,Male,High,Experienced,Sales Executive,Low,Divorced,4115,8,No,19,Excellent,High,High,8,3,Better,4,3,0,3
40,No,Travel_Frequently,Sales,2,Masters,Medical,1212,Medium,Male,High,Experienced,Sales Executive,Medium,Married,4327,5,No,12,Excellent,Very High,High,5,2,Better,0,0,0,0
50,No,Travel_Frequently,Research & Development,2,Bachelors,Medical,1215,Very High,Female,High,Manager,Manager,Low,Married,17856,2,No,22,Outstanding,High,Low,32,3,Better,2,2,2,2
28,No,Travel_Rarely,Research & Development,19,Masters,Medical,1216,Very High,Male,Medium,Entry,Laboratory Technician,Low,Married,3196,1,No,12,Excellent,High,High,6,2,Better,6,5,3,3
46,No,Travel_Rarely,Research & Development,15,College,Life Sciences,1217,Very High,Male,High,Director,Research Director,Medium,Married,19081,5,No,11,Excellent,Low,Low,25,2,Better,4,2,0,3
35,No,Travel_Rarely,Sales,17,Masters,Life Sciences,1218,High,Male,High,Experienced,Sales Executive,Low,Married,8966,3,Yes,15,Excellent,Very High,High,15,2,Better,7,7,1,7
24,Yes,Travel_Rarely,Research & Development,17,College,Life Sciences,1219,Very High,Female,High,Entry,Laboratory Technician,Medium,Married,2210,1,No,13,Excellent,Low,Low,1,3,Bad,1,0,0,0
33,No,Travel_Frequently,Sales,25,Bachelors,Medical,1220,Medium,Female,High,Experienced,Sales Executive,High,Married,4539,1,No,12,Excellent,Low,Low,10,3,Good,10,7,0,1
36,No,Travel_Rarely,Research & Development,6,Masters,Life Sciences,1221,High,Male,Low,Entry,Laboratory Technician,High,Divorced,2741,1,No,14,Excellent,High,Low,7,4,Better,7,7,1,7
30,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,1224,High,Male,High,Experienced,Laboratory Technician,High,Divorced,3491,1,No,13,Excellent,Low,High,10,4,Good,10,7,8,9
44,No,Travel_Rarely,Research & Development,29,Masters,Other,1225,Very High,Male,High,Experienced,Research Scientist,Very High,Single,4541,1,No,25,Outstanding,Medium,None,20,3,Better,20,11,13,17
20,No,Travel_Rarely,Sales,21,Bachelors,Marketing,1226,High,Male,Very High,Entry,Sales Representative,Very High,Single,2678,1,No,17,Excellent,Very High,None,2,2,Better,2,1,2,2
46,No,Travel_Rarely,Research & Development,2,Masters,Technical Degree,1228,Very High,Male,High,Experienced,Manufacturing Director,Very High,Divorced,7379,2,No,11,Excellent,High,Low,12,3,Good,6,3,1,4
42,No,Non-Travel,Human Resources,2,Doctorate,Medical,1231,Very High,Male,Very High,Experienced,Human Resources,Low,Married,6272,7,No,16,Excellent,Low,Low,10,3,Best,4,3,0,3
60,No,Travel_Rarely,Sales,7,Masters,Marketing,1233,Medium,Male,Very High,Experienced,Sales Executive,Very High,Divorced,5220,0,Yes,18,Excellent,Medium,Low,12,3,Better,11,7,1,9
32,No,Travel_Frequently,Research & Development,13,Bachelors,Other,1234,High,Female,Medium,Entry,Laboratory Technician,Medium,Married,2743,1,No,20,Outstanding,High,Low,2,2,Better,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,1235,Very High,Female,High,Experienced,Research Scientist,High,Single,4998,4,Yes,14,Excellent,Very High,None,10,2,Better,8,7,0,7
36,No,Travel_Rarely,Research & Development,1,Bachelors,Technical Degree,1237,High,Female,Low,Senior,Manufacturing Director,Low,Divorced,10252,2,Yes,21,Outstanding,High,Low,17,2,Better,7,7,7,7
33,No,Travel_Rarely,Research & Development,9,Bachelors,Medical,1238,Low,Male,High,Entry,Research Scientist,Very High,Married,2781,0,No,13,Excellent,Medium,Low,15,5,Better,14,10,4,10
40,No,Travel_Rarely,Sales,10,Bachelors,Technical Degree,1239,Medium,Female,Medium,Experienced,Sales Executive,Medium,Divorced,6852,7,No,12,Excellent,Medium,Low,7,2,Best,5,1,1,3
25,No,Travel_Rarely,Sales,10,Masters,Life Sciences,1240,High,Male,High,Experienced,Sales Executive,Very High,Single,4950,0,No,14,Excellent,Medium,None,5,4,Better,4,3,1,1
30,No,Travel_Rarely,Research & Development,1,Bachelors,Medical,1241,Very High,Male,High,Entry,Research Scientist,Medium,Married,3579,0,Yes,21,Outstanding,Low,Low,12,2,Better,11,9,5,7
42,No,Travel_Frequently,Research & Development,26,Doctorate,Medical,1242,Low,Female,High,Senior,Research Director,Low,Married,13191,3,Yes,17,Excellent,High,None,20,6,Better,1,0,0,0
35,No,Non-Travel,Sales,8,College,Marketing,1243,High,Female,Medium,Senior,Sales Executive,Very High,Married,10377,4,Yes,11,Excellent,Medium,Low,16,6,Good,13,2,4,12
27,No,Travel_Rarely,Research & Development,14,Bachelors,Life Sciences,1244,Low,Male,High,Entry,Research Scientist,Low,Married,2235,1,Yes,14,Excellent,Very High,Medium,9,3,Good,9,7,6,8
54,No,Travel_Frequently,Research & Development,1,Masters,Life Sciences,1245,Very High,Female,High,Senior,Manufacturing Director,High,Divorced,10502,7,No,17,Excellent,Low,Low,33,2,Bad,5,4,1,4
44,No,Travel_Rarely,Research & Development,2,Below College,Life Sciences,1246,Low,Female,Very High,Entry,Research Scientist,Very High,Married,2011,1,No,13,Excellent,Very High,Low,10,5,Better,10,5,7,7
19,Yes,Non-Travel,Research & Development,10,Bachelors,Medical,1248,Low,Female,Medium,Entry,Research Scientist,Medium,Single,1859,1,Yes,25,Outstanding,Medium,None,1,2,Best,1,1,0,0
29,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,1249,Low,Female,High,Entry,Research Scientist,Very High,Divorced,3760,1,No,15,Excellent,Low,High,3,5,Better,3,2,1,2
54,No,Travel_Rarely,Research & Development,3,Bachelors,Life Sciences,1250,Very High,Male,High,Manager,Research Director,Very High,Married,17779,3,No,14,Excellent,Low,None,36,2,Better,10,9,0,9
31,No,Travel_Rarely,Research & Development,11,College,Medical,1251,High,Male,High,Experienced,Healthcare Representative,Low,Married,6833,1,Yes,12,Excellent,Very High,None,6,2,Good,6,5,0,1
31,No,Travel_Rarely,Research & Development,24,Bachelors,Medical,1252,High,Female,Medium,Experienced,Healthcare Representative,Low,Single,6812,1,No,19,Excellent,Medium,None,10,2,Better,10,9,1,8
59,No,Travel_Rarely,Sales,3,Bachelors,Life Sciences,1254,High,Female,Medium,Experienced,Sales Executive,Very High,Single,5171,5,No,17,Excellent,Very High,None,13,2,Better,6,1,0,5
43,No,Travel_Rarely,Research & Development,3,Bachelors,Life Sciences,1255,High,Male,Low,Director,Research Director,Very High,Married,19740,3,No,14,Excellent,Medium,Low,25,2,Better,8,7,0,7
49,No,Travel_Rarely,Research & Development,4,College,Medical,1256,Low,Male,Medium,Director,Manager,High,Married,18711,2,No,13,Excellent,High,Low,23,2,Best,1,0,0,0
36,No,Travel_Frequently,Research & Development,3,Bachelors,Technical Degree,1257,High,Male,High,Entry,Research Scientist,Medium,Married,3692,1,No,12,Excellent,High,None,12,2,Good,11,10,0,7
48,No,Travel_Rarely,Research & Development,2,College,Technical Degree,1258,Very High,Male,Very High,Entry,Laboratory Technician,Medium,Single,2559,5,No,11,Excellent,High,None,7,4,Good,1,0,0,0
27,No,Travel_Rarely,Research & Development,4,College,Life Sciences,1259,Low,Male,High,Entry,Research Scientist,High,Divorced,2517,1,No,11,Excellent,Medium,High,5,2,Better,5,3,0,3
29,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,1260,High,Male,High,Experienced,Healthcare Representative,Very High,Divorced,6623,1,Yes,11,Excellent,Medium,Medium,6,2,Better,6,0,1,0
48,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,1263,Very High,Male,Medium,Director,Research Director,Very High,Single,18265,6,No,12,Excellent,High,None,25,3,Best,1,0,0,0
29,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,1264,Very High,Female,Medium,Manager,Research Director,Very High,Divorced,16124,3,No,14,Excellent,Medium,Medium,9,2,Good,7,7,1,7
34,No,Travel_Rarely,Research & Development,20,Bachelors,Technical Degree,1265,High,Female,Very High,Entry,Research Scientist,High,Married,2585,0,No,17,Excellent,Very High,None,2,5,Good,1,0,0,0
44,No,Travel_Rarely,Sales,5,Bachelors,Marketing,1267,Medium,Male,High,Director,Manager,Medium,Married,18213,7,No,11,Excellent,High,Low,26,5,Better,22,9,3,10
33,No,Travel_Rarely,Sales,10,Doctorate,Marketing,1268,Very High,Male,Very High,Senior,Sales Executive,High,Divorced,8380,0,Yes,14,Excellent,Very High,Medium,10,3,Better,9,8,0,8
19,No,Travel_Rarely,Research & Development,25,Bachelors,Life Sciences,1269,Medium,Female,Very High,Entry,Research Scientist,Very High,Single,2994,1,Yes,12,Excellent,Very High,None,1,2,Better,1,0,0,1
23,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1270,Very High,Male,High,Entry,Research Scientist,High,Married,1223,1,No,22,Outstanding,Very High,Low,1,2,Better,1,0,0,1
25,Yes,Travel_Frequently,Sales,24,Below College,Life Sciences,1273,High,Male,Low,Entry,Sales Representative,Very High,Single,1118,1,Yes,14,Excellent,Very High,None,1,4,Better,1,0,1,0
26,No,Travel_Rarely,Research & Development,4,College,Life Sciences,1275,High,Male,High,Entry,Research Scientist,Very High,Single,2875,1,Yes,20,Outstanding,Medium,None,8,2,Good,8,5,2,2
45,Yes,Travel_Rarely,Sales,2,Bachelors,Marketing,1277,Low,Female,Low,Director,Manager,Medium,Single,18824,2,Yes,16,Excellent,Low,None,26,2,Better,24,10,1,11
55,No,Non-Travel,Research & Development,8,Below College,Medical,1278,Very High,Male,Medium,Manager,Healthcare Representative,Medium,Divorced,13577,1,Yes,15,Excellent,Very High,Low,34,3,Better,33,9,15,0
21,Yes,Travel_Frequently,Research & Development,10,College,Life Sciences,1279,Low,Female,Medium,Entry,Laboratory Technician,High,Single,2625,1,No,20,Outstanding,High,None,2,2,Bad,2,2,2,2
46,No,Travel_Rarely,Sales,4,College,Marketing,1280,Very High,Female,Medium,Director,Manager,Medium,Married,18789,2,No,14,Excellent,High,Low,26,2,Better,11,4,0,8
34,No,Travel_Rarely,Sales,2,Bachelors,Marketing,1281,High,Female,High,Experienced,Sales Executive,Low,Single,4538,0,Yes,12,Excellent,Very High,None,4,3,Better,3,2,0,2
51,No,Travel_Frequently,Sales,9,Bachelors,Life Sciences,1282,Very High,Male,High,Director,Manager,Medium,Divorced,19847,4,Yes,24,Outstanding,Low,Low,31,5,Good,29,10,11,10
59,No,Travel_Rarely,Research & Development,18,Masters,Medical,1283,Very High,Male,High,Senior,Manufacturing Director,Very High,Single,10512,6,No,12,Excellent,Very High,None,25,6,Good,9,7,5,4
34,No,Travel_Frequently,Research & Development,19,Bachelors,Medical,1285,High,Female,High,Experienced,Laboratory Technician,Medium,Divorced,4444,4,No,13,Excellent,High,Medium,15,2,Best,11,8,5,10
28,No,Travel_Frequently,Research & Development,1,Masters,Medical,1286,Very High,Male,High,Entry,Laboratory Technician,High,Single,2154,0,Yes,11,Excellent,High,None,5,2,Good,4,2,0,2
44,No,Travel_Rarely,Research & Development,4,College,Life Sciences,1288,High,Male,Very High,Director,Manager,Low,Divorced,19190,1,No,14,Excellent,Very High,Medium,26,4,Good,25,9,14,13
34,No,Travel_Frequently,Human Resources,11,Bachelors,Life Sciences,1289,High,Male,Medium,Experienced,Human Resources,Medium,Married,4490,4,No,11,Excellent,Very High,Medium,14,5,Best,10,9,1,8
35,No,Travel_Rarely,Research & Development,6,Below College,Life Sciences,1291,High,Male,High,Entry,Research Scientist,High,Married,3506,0,Yes,14,Excellent,Very High,None,4,3,Better,3,2,2,2
42,No,Travel_Rarely,Research & Development,7,Masters,Medical,1292,Medium,Female,Very High,Experienced,Research Scientist,Medium,Married,2372,6,Yes,16,Excellent,Very High,None,18,2,Better,1,0,0,0
43,No,Travel_Rarely,Sales,4,Masters,Marketing,1293,Very High,Female,Medium,Senior,Sales Executive,Very High,Single,10231,3,No,14,Excellent,Very High,None,23,3,Best,21,7,15,17
